startup,sector,subsector,city,investor,investmenttype,amountinusd,date
"Pham, Leach and Wright",Logistics,Logistics Services,Pune,"Investor_29, Investor_76, Investor_60",Series A,198512.64,2022-03-12
Burton Inc,SaaS,SaaS Services,Kolkata,Investor_49,Series A,20059403.94,2018-04-16
"Ponce, Johnson and Kelly",AgriTech,AgriTech Services,Bengaluru,"Investor_60, Investor_69",Seed,508613.4,2011-02-04
"Joseph, Rivera and Leon",AI/ML,AI/ML Services,Pune,"Investor_16, Investor_48, Investor_49",Pre-Seed,12467364.38,2014-02-16
Stevens-Rodriguez,EdTech,EdTech Services,Mumbai,"Investor_44, Investor_51, Investor_5",Series B,792140.22,2010-05-08
Bush-Wells,FoodTech,FoodTech Services,Chennai,"Investor_9, Investor_18, Investor_36",Series B,553608.32,2007-01-24
"Collins, Massey and Mcpherson",Logistics,Logistics Services,Gurgaon,Investor_91,Series B,3265301.4,2006-01-15
Harris-Short,EdTech,EdTech Services,Ahmedabad,"Investor_97, Investor_88",Series A,2018957.57,2007-01-25
Johnson-Graham,AgriTech,AgriTech Services,Hyderabad,"Investor_78, Investor_1",Series D+,3656183.82,2008-03-10
"Mckenzie, Castillo and Smith",HealthTech,HealthTech Services,Mumbai,"Investor_43, Investor_44, Investor_95",Series A,3270547.32,2022-02-04
"Perry, White and Mills",AI/ML,AI/ML Services,Bengaluru,Investor_84,Series A,6592748.33,2015-02-20
"Harris, Cox and Bautista",Logistics,Logistics Services,Bengaluru,"Investor_56, Investor_12, Investor_67",Series B,9663498.86,2022-08-12
Blackburn-Cox,FinTech,FinTech Services,Delhi,Investor_76,Seed,1675840.66,2017-02-16
"Reynolds, Valenzuela and Gonzalez",Logistics,Logistics Services,Kolkata,Investor_4,Series D+,15932878.86,2012-07-25
"Perkins, Cooper and Johnson",HealthTech,HealthTech Services,Kolkata,"Investor_80, Investor_32",Series B,340636.72,2017-02-21
Castillo and Sons,CleanTech,CleanTech Services,Gurgaon,Investor_75,Series D+,1900685.9,2022-07-06
Robinson-Hatfield,E-Commerce,E-Commerce Services,Kolkata,"Investor_100, Investor_8",Series B,2277335.17,2006-07-24
Williams and Sons,FinTech,FinTech Services,Gurgaon,"Investor_10, Investor_40, Investor_63",Seed,3160958.09,2007-04-21
Singleton PLC,CleanTech,CleanTech Services,Chennai,"Investor_23, Investor_52, Investor_9",Pre-Seed,175930.67,2020-08-12
Boyd LLC,E-Commerce,E-Commerce Services,Mumbai,Investor_95,Series A,3703177.54,2010-01-23
Kerr-Jordan,AgriTech,AgriTech Services,Noida,"Investor_21, Investor_91",Seed,3758086.65,2014-01-15
Bryan-Cole,FoodTech,FoodTech Services,Hyderabad,Investor_31,Pre-Seed,7820742.61,2007-12-10
"Hines, Silva and Mullen",E-Commerce,E-Commerce Services,Noida,"Investor_81, Investor_72, Investor_12",Series D+,84932.08,2004-05-07
Haley Ltd,EdTech,EdTech Services,Noida,"Investor_67, Investor_26",Series B,65468.32,2008-12-02
"Torres, Trevino and Huff",AgriTech,AgriTech Services,Mumbai,"Investor_7, Investor_60",Series B,1105263.11,2003-03-18
Watkins-Hogan,SaaS,SaaS Services,Gurgaon,"Investor_63, Investor_72, Investor_23",Series B,28460861.01,2003-01-14
"Mcpherson, Lopez and Davis",EdTech,EdTech Services,Noida,"Investor_77, Investor_4, Investor_33",Pre-Seed,1599195.81,2016-09-16
Curtis-Tate,FinTech,FinTech Services,Gurgaon,Investor_58,Seed,2497914.24,2005-08-25
Kelly-Diaz,SaaS,SaaS Services,Chennai,"Investor_100, Investor_88",Seed,9456884.39,2011-05-19
Bowman-Young,FoodTech,FoodTech Services,Delhi,Investor_88,Series D+,1611584.99,2019-09-28
"Bender, Simmons and Martinez",AI/ML,AI/ML Services,Chennai,"Investor_5, Investor_59",Series A,3319636.34,2022-10-03
Hernandez-Davis,FoodTech,FoodTech Services,Pune,"Investor_41, Investor_86",Series D+,441621.46,2019-06-15
Wilcox-Espinoza,CleanTech,CleanTech Services,Mumbai,Investor_85,Pre-Seed,1388788.18,2014-02-14
Salas Inc,SaaS,SaaS Services,Noida,"Investor_15, Investor_46, Investor_62",Series C,77075.29,2008-03-17
Lowe-Peterson,Logistics,Logistics Services,Pune,"Investor_29, Investor_12",Series A,6691346.57,2014-07-01
Cisneros-Vargas,SaaS,SaaS Services,Noida,"Investor_96, Investor_25",Series C,2753736.77,2013-07-27
"Garza, Freeman and Mercer",FoodTech,FoodTech Services,Noida,"Investor_3, Investor_53",Series B,836241.12,2005-07-03
Schultz Inc,FoodTech,FoodTech Services,Noida,"Investor_83, Investor_15, Investor_70",Series A,272695.64,2020-01-17
"Garcia, Case and Mccullough",HealthTech,HealthTech Services,Noida,"Investor_52, Investor_30",Series A,2428448.91,2012-01-10
Henry Ltd,E-Commerce,E-Commerce Services,Chennai,"Investor_27, Investor_73",Series A,26467833.34,2013-10-22
Turner PLC,CleanTech,CleanTech Services,Pune,"Investor_87, Investor_100",Series A,1896312.89,2012-03-25
Cruz Group,E-Commerce,E-Commerce Services,Kolkata,"Investor_24, Investor_39, Investor_4",Series A,231067.94,2015-01-27
"Sawyer, Hatfield and Glover",CleanTech,CleanTech Services,Mumbai,"Investor_52, Investor_32, Investor_73",Seed,373370.72,2022-06-10
"Stevens, Hunter and Washington",CleanTech,CleanTech Services,Chennai,"Investor_91, Investor_4",Seed,343472.13,2016-02-09
Hayes-Smith,HealthTech,HealthTech Services,Pune,Investor_74,Series C,1813846.26,2009-01-07
Reed-Marshall,CleanTech,CleanTech Services,Delhi,"Investor_82, Investor_48, Investor_80",Series A,1662975.27,2022-08-07
Young Inc,CleanTech,CleanTech Services,Bengaluru,Investor_51,Pre-Seed,16904993.65,2014-08-19
James and Sons,EdTech,EdTech Services,Delhi,"Investor_14, Investor_67",Seed,277489.05,2011-07-07
Reeves LLC,EdTech,EdTech Services,Noida,"Investor_34, Investor_97",Series C,2228512.42,2012-11-10
Adkins-Brown,EdTech,EdTech Services,Hyderabad,Investor_100,Series B,35661096.88,2022-10-15
Cruz-Lowe,AI/ML,AI/ML Services,Hyderabad,Investor_96,Series D+,651460.82,2016-08-06
Simon Inc,Logistics,Logistics Services,Noida,"Investor_47, Investor_81",Series D+,2860975.19,2008-03-28
Padilla Group,CleanTech,CleanTech Services,Kolkata,"Investor_73, Investor_54, Investor_22",Series D+,331942.26,2013-09-21
"Martinez, Bell and Ramos",E-Commerce,E-Commerce Services,Ahmedabad,Investor_17,Pre-Seed,291802.91,2018-05-09
Vang Inc,HealthTech,HealthTech Services,Delhi,Investor_52,Series A,333275.34,2022-09-03
"Ramirez, Garcia and Sampson",Logistics,Logistics Services,Ahmedabad,"Investor_30, Investor_44",Series B,2931044.9,2008-05-13
Armstrong Ltd,E-Commerce,E-Commerce Services,Gurgaon,Investor_54,Series A,377940.0,2010-11-21
Davila-King,EdTech,EdTech Services,Delhi,"Investor_54, Investor_11, Investor_17",Series D+,3818905.75,2022-01-01
Li-Booker,EdTech,EdTech Services,Delhi,"Investor_45, Investor_51, Investor_1",Series B,10706093.34,2006-08-09
Hale PLC,AI/ML,AI/ML Services,Delhi,Investor_1,Series B,10339313.85,2007-01-24
"Odom, Ochoa and Shaw",Logistics,Logistics Services,Chennai,"Investor_69, Investor_32",Series D+,1694383.03,2010-05-10
Lynn and Sons,Logistics,Logistics Services,Mumbai,"Investor_71, Investor_31, Investor_5",Series B,1476010.05,2022-05-23
"Whitehead, Taylor and Beard",Logistics,Logistics Services,Ahmedabad,"Investor_11, Investor_24",Seed,1527214.79,2019-02-14
Bradley-Duke,SaaS,SaaS Services,Ahmedabad,"Investor_41, Investor_17, Investor_57",Series B,2170924.9,2021-02-26
"Rocha, Simmons and Cohen",Logistics,Logistics Services,Noida,"Investor_20, Investor_45, Investor_53",Series B,1895899.32,2006-10-28
Banks-Diaz,FoodTech,FoodTech Services,Bengaluru,"Investor_66, Investor_32, Investor_15",Series B,34689.05,2013-10-01
Smith-Smith,E-Commerce,E-Commerce Services,Delhi,"Investor_65, Investor_11, Investor_39",Pre-Seed,4049125.63,2010-11-23
"Graham, Barton and Evans",CleanTech,CleanTech Services,Noida,"Investor_12, Investor_22, Investor_66",Series A,4594552.23,2012-01-27
"Graham, White and Young",HealthTech,HealthTech Services,Kolkata,"Investor_52, Investor_83",Pre-Seed,1455398.86,2022-06-23
Summers-Knight,EdTech,EdTech Services,Chennai,"Investor_39, Investor_79, Investor_91",Series C,209074.32,2014-03-09
Holmes PLC,AgriTech,AgriTech Services,Gurgaon,"Investor_1, Investor_33, Investor_12",Seed,20083558.31,2003-02-28
Cooke Inc,EdTech,EdTech Services,Bengaluru,"Investor_8, Investor_32",Seed,3854676.58,2009-09-02
Wilcox-Reed,AgriTech,AgriTech Services,Delhi,"Investor_37, Investor_29, Investor_74",Series C,894675.28,2004-04-27
Robinson-Smith,Logistics,Logistics Services,Gurgaon,"Investor_52, Investor_45",Series C,392076.81,2005-05-28
"Coleman, Russell and Park",FoodTech,FoodTech Services,Ahmedabad,"Investor_27, Investor_82, Investor_49",Seed,25837589.1,2021-06-19
Green Group,AI/ML,AI/ML Services,Bengaluru,"Investor_83, Investor_92, Investor_4",Pre-Seed,51344.7,2012-06-02
"Smith, Johnston and Howard",FinTech,FinTech Services,Gurgaon,Investor_87,Seed,930024.95,2022-06-06
Cox and Sons,HealthTech,HealthTech Services,Chennai,Investor_10,Seed,2637910.85,2013-09-19
Taylor-Frazier,CleanTech,CleanTech Services,Gurgaon,"Investor_15, Investor_20",Pre-Seed,970910.66,2014-12-25
Hayes and Sons,AgriTech,AgriTech Services,Hyderabad,"Investor_87, Investor_68, Investor_32",Seed,1166927.41,2009-01-08
"Wallace, Schmidt and Mullins",E-Commerce,E-Commerce Services,Gurgaon,"Investor_30, Investor_49, Investor_11",Series C,5607765.49,2005-05-15
"Davila, Perez and Hicks",E-Commerce,E-Commerce Services,Delhi,Investor_86,Pre-Seed,388018.39,2011-06-23
"Werner, Boone and Santiago",AgriTech,AgriTech Services,Mumbai,"Investor_43, Investor_40, Investor_4",Series C,7703390.47,2010-03-14
Mcconnell Inc,E-Commerce,E-Commerce Services,Mumbai,"Investor_65, Investor_5",Seed,2124673.89,2017-01-20
"Underwood, Reilly and Shepherd",SaaS,SaaS Services,Noida,"Investor_42, Investor_44",Series B,1235430.31,2016-06-15
Hansen Group,CleanTech,CleanTech Services,Ahmedabad,"Investor_74, Investor_25",Series A,1116355.0,2013-09-26
Martinez Ltd,AgriTech,AgriTech Services,Noida,Investor_19,Series A,95475.33,2015-11-24
Lewis-Miller,AI/ML,AI/ML Services,Hyderabad,"Investor_90, Investor_13, Investor_34",Series C,174537.24,2012-01-11
Jones Group,AI/ML,AI/ML Services,Mumbai,"Investor_55, Investor_46",Seed,1385079.43,2014-01-09
"Henry, Wong and Hoffman",AI/ML,AI/ML Services,Ahmedabad,"Investor_29, Investor_100, Investor_76",Series A,108183.84,2003-11-24
"Hicks, Maddox and Medina",HealthTech,HealthTech Services,Delhi,Investor_54,Series A,1186010.04,2014-01-05
Villarreal Inc,FinTech,FinTech Services,Pune,"Investor_33, Investor_37",Seed,652795.38,2004-10-04
Robinson Group,FoodTech,FoodTech Services,Chennai,"Investor_79, Investor_23",Series D+,28297937.81,2016-11-10
Rogers Group,E-Commerce,E-Commerce Services,Kolkata,"Investor_43, Investor_48, Investor_85",Series C,10379793.87,2016-11-08
Garrett Inc,E-Commerce,E-Commerce Services,Gurgaon,"Investor_60, Investor_44, Investor_70",Series A,3076909.24,2017-02-09
"Allison, Hamilton and Franklin",FoodTech,FoodTech Services,Ahmedabad,"Investor_60, Investor_19, Investor_66",Seed,3568327.64,2016-08-02
Campbell-Mcintosh,Logistics,Logistics Services,Hyderabad,"Investor_45, Investor_14",Series B,220889.13,2010-01-02
Contreras Ltd,AI/ML,AI/ML Services,Delhi,Investor_51,Pre-Seed,286695.48,2006-11-02
Duarte PLC,E-Commerce,E-Commerce Services,Gurgaon,"Investor_57, Investor_6, Investor_87",Series C,683709.46,2012-06-08
Dean-Hodge,SaaS,SaaS Services,Kolkata,"Investor_11, Investor_75",Series A,2373463.02,2019-10-01
"Sandoval, Lutz and Weaver",AgriTech,AgriTech Services,Hyderabad,Investor_12,Series C,2252112.66,2019-08-13
Hayes-Martin,E-Commerce,E-Commerce Services,Gurgaon,"Investor_51, Investor_36, Investor_17",Series D+,1235030.35,2017-09-08
Alvarado Inc,FinTech,FinTech Services,Mumbai,"Investor_37, Investor_96",Series B,479969.59,2016-09-18
Bryant PLC,AI/ML,AI/ML Services,Gurgaon,Investor_34,Series D+,2307906.78,2011-12-18
Larson and Sons,CleanTech,CleanTech Services,Hyderabad,"Investor_7, Investor_50, Investor_77",Seed,16258430.98,2014-07-17
Martin LLC,FoodTech,FoodTech Services,Noida,Investor_48,Pre-Seed,663089.98,2015-05-24
Johnson-Perry,SaaS,SaaS Services,Mumbai,Investor_96,Series D+,6133079.58,2007-09-28
Barnes and Sons,SaaS,SaaS Services,Mumbai,Investor_100,Series C,6149587.16,2007-06-11
Ramirez Inc,AI/ML,AI/ML Services,Gurgaon,Investor_13,Series A,836861.36,2022-10-14
Ball Inc,Logistics,Logistics Services,Ahmedabad,"Investor_10, Investor_29, Investor_36",Series C,1520192.34,2021-05-06
Beck and Sons,HealthTech,HealthTech Services,Noida,Investor_79,Series A,1411807.28,2007-02-10
Lucas PLC,FoodTech,FoodTech Services,Bengaluru,"Investor_20, Investor_71, Investor_69",Series D+,5000379.74,2019-07-08
Baldwin Inc,HealthTech,HealthTech Services,Mumbai,"Investor_32, Investor_48, Investor_5",Pre-Seed,3710439.23,2017-12-10
"Cunningham, Knox and King",AI/ML,AI/ML Services,Noida,"Investor_21, Investor_23, Investor_87",Pre-Seed,612025.26,2014-12-24
Madden-Smith,EdTech,EdTech Services,Chennai,Investor_53,Series B,1072191.67,2003-12-17
"Miller, Wilkins and Torres",FoodTech,FoodTech Services,Ahmedabad,"Investor_96, Investor_12, Investor_29",Series A,420378.9,2004-01-10
Rose LLC,AgriTech,AgriTech Services,Noida,"Investor_78, Investor_16",Series B,1936634.94,2015-03-17
"Harris, Boyer and Baker",FoodTech,FoodTech Services,Mumbai,Investor_81,Seed,123333.66,2006-06-02
Mccarthy Ltd,CleanTech,CleanTech Services,Mumbai,Investor_46,Series A,6754858.71,2020-11-05
"Reed, Sosa and Smith",FoodTech,FoodTech Services,Kolkata,"Investor_56, Investor_58",Series D+,4882947.78,2013-05-14
Harper-Holmes,EdTech,EdTech Services,Bengaluru,"Investor_84, Investor_47",Pre-Seed,98537.12,2007-07-13
Walker Ltd,FoodTech,FoodTech Services,Pune,Investor_5,Series D+,8835259.67,2020-12-28
Williams Inc,FoodTech,FoodTech Services,Gurgaon,Investor_32,Series D+,1189051.71,2011-12-08
Patton-Garcia,FinTech,FinTech Services,Mumbai,"Investor_43, Investor_93",Series A,17070363.83,2005-02-26
Washington PLC,SaaS,SaaS Services,Noida,"Investor_80, Investor_89, Investor_73",Seed,2671977.14,2014-07-04
"Riley, Wood and Fox",FoodTech,FoodTech Services,Hyderabad,"Investor_71, Investor_66, Investor_14",Series D+,276720.94,2021-11-12
"Johns, Morales and Collins",E-Commerce,E-Commerce Services,Bengaluru,"Investor_86, Investor_34",Series C,442924.61,2006-10-18
"Park, Osborne and Thompson",E-Commerce,E-Commerce Services,Noida,Investor_100,Seed,1951347.3,2016-05-12
Young Inc,AgriTech,AgriTech Services,Bengaluru,"Investor_49, Investor_27",Seed,222885.59,2003-02-04
Hansen-Coleman,FinTech,FinTech Services,Delhi,Investor_69,Series D+,10376383.22,2011-01-20
Gutierrez-Kent,AgriTech,AgriTech Services,Ahmedabad,Investor_18,Series C,175133.95,2011-09-15
Simpson Inc,FoodTech,FoodTech Services,Pune,"Investor_94, Investor_92, Investor_52",Series D+,220380.34,2009-11-19
"Tucker, Guzman and Jones",E-Commerce,E-Commerce Services,Pune,"Investor_90, Investor_29, Investor_36",Pre-Seed,5399400.75,2006-12-22
Mccarthy-Baker,Logistics,Logistics Services,Bengaluru,"Investor_17, Investor_46",Series D+,5200789.43,2009-07-10
Bauer-Jarvis,E-Commerce,E-Commerce Services,Chennai,"Investor_42, Investor_85, Investor_32",Pre-Seed,4119855.72,2004-01-18
"Walker, Williams and Sawyer",Logistics,Logistics Services,Bengaluru,"Investor_30, Investor_100",Seed,1642990.92,2004-05-01
Pacheco PLC,FoodTech,FoodTech Services,Ahmedabad,"Investor_5, Investor_32, Investor_26",Seed,5002215.6,2012-06-11
"Rivas, Alexander and Gutierrez",AgriTech,AgriTech Services,Kolkata,"Investor_57, Investor_55",Series B,5005871.29,2007-05-10
Hawkins LLC,FinTech,FinTech Services,Gurgaon,"Investor_80, Investor_48, Investor_72",Series C,694909.55,2017-07-26
Chavez Group,AgriTech,AgriTech Services,Gurgaon,Investor_63,Pre-Seed,312134.58,2019-12-02
Anderson PLC,AI/ML,AI/ML Services,Bengaluru,Investor_92,Seed,4006880.71,2012-03-24
"Wallace, Saunders and Pitts",HealthTech,HealthTech Services,Hyderabad,"Investor_90, Investor_9",Series C,148450.67,2003-01-13
"Brown, Garcia and Washington",FoodTech,FoodTech Services,Ahmedabad,"Investor_87, Investor_27",Series B,2201553.84,2008-06-04
Henry-Rangel,SaaS,SaaS Services,Gurgaon,Investor_50,Series D+,5935287.06,2015-12-19
Watson-Kelly,HealthTech,HealthTech Services,Bengaluru,"Investor_68, Investor_85",Series A,4177164.2,2007-12-27
"Foster, Donovan and Gonzalez",SaaS,SaaS Services,Ahmedabad,"Investor_26, Investor_2",Series A,699079.79,2014-11-05
Nelson-Odonnell,AI/ML,AI/ML Services,Bengaluru,Investor_34,Series C,2709356.35,2012-04-16
Robinson Ltd,Logistics,Logistics Services,Noida,"Investor_82, Investor_41",Pre-Seed,1761708.55,2003-03-06
"Evans, Sanchez and Everett",FinTech,FinTech Services,Hyderabad,"Investor_86, Investor_5",Series C,7214046.47,2022-03-16
Foster Inc,EdTech,EdTech Services,Mumbai,Investor_30,Seed,10415434.57,2016-09-25
Gray-Gray,AI/ML,AI/ML Services,Chennai,Investor_71,Pre-Seed,1660969.9,2004-02-23
Ramirez-Davis,FinTech,FinTech Services,Mumbai,"Investor_73, Investor_20, Investor_45",Series C,5078732.86,2014-07-01
"Figueroa, Gomez and Rodriguez",Logistics,Logistics Services,Bengaluru,"Investor_19, Investor_48",Seed,1308665.94,2019-06-08
"Warren, Thomas and Escobar",EdTech,EdTech Services,Ahmedabad,Investor_8,Pre-Seed,668173.17,2011-03-14
Lester LLC,SaaS,SaaS Services,Bengaluru,Investor_6,Series C,1416154.47,2015-06-08
Lopez-Haynes,AI/ML,AI/ML Services,Mumbai,"Investor_28, Investor_5, Investor_44",Series D+,1956672.62,2005-10-12
Martin-Koch,E-Commerce,E-Commerce Services,Hyderabad,"Investor_57, Investor_83",Series D+,1242606.06,2003-03-08
"Garcia, Lucas and Gardner",AI/ML,AI/ML Services,Bengaluru,Investor_100,Series D+,2355873.93,2009-04-23
Cooper-Wade,FoodTech,FoodTech Services,Chennai,"Investor_96, Investor_20",Series D+,32629.62,2003-04-25
Mcdaniel-Martinez,AgriTech,AgriTech Services,Bengaluru,Investor_34,Pre-Seed,2490266.2,2021-01-07
"Kline, Allen and Dawson",FinTech,FinTech Services,Hyderabad,Investor_61,Series B,481860.63,2015-07-12
"Jones, Gross and Conway",Logistics,Logistics Services,Noida,Investor_76,Series D+,714146.87,2009-06-05
"Dixon, Warren and Clark",FinTech,FinTech Services,Bengaluru,Investor_4,Pre-Seed,1773955.02,2020-04-22
"Harrell, Chen and Robinson",AgriTech,AgriTech Services,Chennai,"Investor_80, Investor_18",Series D+,10510511.91,2012-02-15
"Mcneil, Sullivan and Hoffman",SaaS,SaaS Services,Bengaluru,"Investor_71, Investor_91",Series D+,1338981.02,2012-10-02
"Todd, Blair and Mann",AI/ML,AI/ML Services,Mumbai,"Investor_76, Investor_33, Investor_15",Series A,4284264.9,2009-08-22
Lewis-Villanueva,SaaS,SaaS Services,Bengaluru,"Investor_13, Investor_37, Investor_38",Seed,71344.16,2004-08-02
"Alvarez, Wilson and Watkins",AgriTech,AgriTech Services,Pune,Investor_13,Pre-Seed,8556429.34,2008-02-15
Grimes-Miller,AgriTech,AgriTech Services,Kolkata,"Investor_54, Investor_20, Investor_86",Series C,488597.33,2021-12-04
"Levy, White and Le",SaaS,SaaS Services,Mumbai,"Investor_89, Investor_25, Investor_69",Seed,962902.14,2013-10-27
Smith-Schmidt,EdTech,EdTech Services,Chennai,Investor_81,Series A,192208.48,2007-07-08
Meyer-Hill,E-Commerce,E-Commerce Services,Ahmedabad,Investor_31,Series A,936555.65,2018-07-10
Horne-Miller,FinTech,FinTech Services,Noida,Investor_39,Series C,16490968.07,2022-01-03
Rodriguez and Sons,SaaS,SaaS Services,Ahmedabad,"Investor_55, Investor_84",Series B,54121.54,2010-05-14
"Meyer, Roach and Hall",AI/ML,AI/ML Services,Hyderabad,Investor_60,Series C,5508565.9,2010-05-21
"Williams, Gray and Miller",CleanTech,CleanTech Services,Delhi,"Investor_96, Investor_9, Investor_64",Seed,2156635.7,2015-05-01
"Walker, Adkins and Johnson",FoodTech,FoodTech Services,Hyderabad,"Investor_26, Investor_22",Series B,1693211.26,2021-02-28
"Mendoza, Kirby and Williams",AgriTech,AgriTech Services,Bengaluru,Investor_76,Series B,2179917.3,2021-03-03
Erickson-Castillo,FoodTech,FoodTech Services,Bengaluru,"Investor_47, Investor_62, Investor_91",Series C,4629640.99,2015-08-26
"Woods, Coleman and Mendez",FoodTech,FoodTech Services,Delhi,"Investor_53, Investor_13",Pre-Seed,2939772.39,2020-09-17
Rodriguez-Mcdaniel,EdTech,EdTech Services,Kolkata,Investor_82,Series D+,1277501.5,2006-08-10
Hart-Smith,AI/ML,AI/ML Services,Bengaluru,"Investor_71, Investor_7",Series D+,37951.37,2021-11-01
Aguilar PLC,FoodTech,FoodTech Services,Kolkata,"Investor_73, Investor_71",Series D+,3544982.22,2003-06-05
Williams-Moore,Logistics,Logistics Services,Mumbai,"Investor_36, Investor_84",Series C,53322.86,2017-02-23
"Perez, Walter and Warren",HealthTech,HealthTech Services,Kolkata,Investor_83,Series A,507364.04,2009-10-21
"Huynh, Jones and Adams",CleanTech,CleanTech Services,Hyderabad,"Investor_27, Investor_90",Seed,2833279.66,2017-09-01
Baker Ltd,EdTech,EdTech Services,Ahmedabad,"Investor_39, Investor_19, Investor_87",Seed,4173279.18,2004-04-18
Moore-Floyd,FinTech,FinTech Services,Gurgaon,"Investor_23, Investor_30",Series A,85437.17,2014-06-12
Smith Ltd,HealthTech,HealthTech Services,Chennai,"Investor_41, Investor_23",Series B,3852937.98,2011-06-12
Vazquez-Jones,FinTech,FinTech Services,Kolkata,"Investor_60, Investor_1",Series B,14328042.48,2018-02-27
"Anderson, Mccoy and Washington",HealthTech,HealthTech Services,Gurgaon,Investor_60,Series B,2627334.19,2020-09-01
Craig-Parker,E-Commerce,E-Commerce Services,Bengaluru,Investor_62,Seed,379564.85,2016-08-07
Stout LLC,Logistics,Logistics Services,Pune,"Investor_42, Investor_3, Investor_90",Seed,477416.72,2011-10-12
"Smith, Crawford and Wright",EdTech,EdTech Services,Kolkata,"Investor_44, Investor_56, Investor_24",Series B,474132.6,2008-11-09
"Mayer, Klein and Richards",FinTech,FinTech Services,Bengaluru,"Investor_42, Investor_21",Series D+,1532538.05,2005-11-22
Miller LLC,Logistics,Logistics Services,Ahmedabad,"Investor_12, Investor_57, Investor_49",Series D+,2464944.61,2006-10-14
Smith Inc,FinTech,FinTech Services,Hyderabad,"Investor_49, Investor_80",Seed,686624.51,2005-05-19
Wolf and Sons,SaaS,SaaS Services,Ahmedabad,"Investor_37, Investor_83, Investor_77",Pre-Seed,3420310.04,2005-01-28
"Torres, Johnson and Tran",AI/ML,AI/ML Services,Chennai,Investor_60,Seed,1457797.56,2008-07-27
Stone-Harper,EdTech,EdTech Services,Chennai,Investor_69,Series D+,43606921.08,2004-01-08
"Rice, Sanchez and Lane",CleanTech,CleanTech Services,Gurgaon,Investor_31,Series D+,724716.48,2014-03-14
"Hernandez, Scott and Holmes",AgriTech,AgriTech Services,Ahmedabad,Investor_27,Pre-Seed,242985.06,2008-09-28
Brown LLC,EdTech,EdTech Services,Ahmedabad,"Investor_98, Investor_92",Series B,166211.91,2010-07-20
Whitehead-Thompson,AgriTech,AgriTech Services,Chennai,"Investor_12, Investor_18",Pre-Seed,2434231.12,2008-01-28
Garcia-Richards,FoodTech,FoodTech Services,Noida,"Investor_79, Investor_7",Pre-Seed,14222157.34,2013-04-26
Matthews-Mills,HealthTech,HealthTech Services,Bengaluru,Investor_28,Seed,6086108.87,2021-07-27
"Martin, Perez and Garza",AI/ML,AI/ML Services,Delhi,"Investor_40, Investor_92",Seed,81437.93,2016-02-19
Webb LLC,AI/ML,AI/ML Services,Pune,"Investor_72, Investor_46, Investor_36",Series A,4029536.4,2008-06-08
"Todd, Moreno and Bentley",FinTech,FinTech Services,Hyderabad,"Investor_16, Investor_29, Investor_26",Series C,583758.64,2011-11-25
Reeves Ltd,FoodTech,FoodTech Services,Pune,Investor_9,Pre-Seed,6201082.43,2020-08-10
Richardson-Smith,SaaS,SaaS Services,Noida,"Investor_36, Investor_88, Investor_93",Series C,1499335.22,2011-04-23
"Ball, Lloyd and Le",AgriTech,AgriTech Services,Chennai,"Investor_53, Investor_50, Investor_83",Pre-Seed,4550602.48,2008-11-01
"Valenzuela, Smith and Richardson",AI/ML,AI/ML Services,Pune,Investor_56,Seed,16126318.46,2017-05-03
Palmer Inc,FoodTech,FoodTech Services,Kolkata,"Investor_6, Investor_54, Investor_49",Series A,736031.59,2010-05-06
"Williams, Dickerson and Hays",E-Commerce,E-Commerce Services,Bengaluru,"Investor_81, Investor_91, Investor_37",Series A,1438458.14,2010-08-04
Hall Inc,Logistics,Logistics Services,Gurgaon,"Investor_33, Investor_97",Seed,6227690.81,2006-01-23
Sanders-Thomas,FoodTech,FoodTech Services,Kolkata,Investor_36,Series B,2033233.14,2017-05-24
Anderson Inc,SaaS,SaaS Services,Noida,"Investor_7, Investor_41, Investor_43",Seed,3916263.8,2014-06-03
Hurst and Sons,CleanTech,CleanTech Services,Noida,"Investor_59, Investor_20",Series A,6834040.02,2020-01-04
Johnson LLC,E-Commerce,E-Commerce Services,Pune,"Investor_16, Investor_54, Investor_21",Series D+,3517870.75,2004-03-07
Hamilton-Jensen,EdTech,EdTech Services,Pune,"Investor_26, Investor_82, Investor_3",Series B,1874784.83,2003-04-10
Medina-Curtis,EdTech,EdTech Services,Ahmedabad,Investor_66,Series D+,20845716.7,2009-01-18
"Haney, Jackson and Murphy",AgriTech,AgriTech Services,Pune,"Investor_7, Investor_86",Series C,266415.56,2005-08-16
"Sheppard, Baker and Gibson",AgriTech,AgriTech Services,Ahmedabad,"Investor_59, Investor_77, Investor_55",Series D+,1208931.48,2015-03-08
Peterson-Williams,EdTech,EdTech Services,Hyderabad,Investor_81,Series C,633824.92,2008-08-03
Ruiz-Terry,AgriTech,AgriTech Services,Delhi,"Investor_21, Investor_58, Investor_92",Series A,10548422.98,2021-05-23
Anderson-Murphy,Logistics,Logistics Services,Pune,Investor_19,Series A,820566.24,2008-08-05
Vasquez and Sons,E-Commerce,E-Commerce Services,Delhi,"Investor_74, Investor_85",Pre-Seed,858439.57,2012-12-25
Salazar PLC,SaaS,SaaS Services,Delhi,"Investor_26, Investor_11",Seed,45066328.75,2019-01-07
Butler-Owens,FoodTech,FoodTech Services,Noida,"Investor_74, Investor_67",Seed,6726385.78,2003-01-14
"Carter, Miller and Morales",AgriTech,AgriTech Services,Hyderabad,"Investor_83, Investor_14, Investor_41",Series D+,3021881.86,2004-02-10
